anime_id,Name,English name,Other name,Score,Genres,Aired,Status,Rating,Rank,Popularity,number_of_female_reviewers,number_of_male_reviewers
45196,Wan Jie Fa Shen,God of Ten Thousand Realms,万界法神,7.17,"Adventure, Fantasy, Romance","Dec 21, 2020 to Jun 18, 2021",Finished Airing,PG-13 - Teens 13 or older,3213.0,9700,3,9
45197,Mo He Yu Gesheng,UNKNOWN,魔盒与歌声,UNKNOWN,"Adventure, Fantasy","Jul 9, 2007 to ?",Finished Airing,PG - Children,18188.0,23458,0,0
45198,Caslon: Xun Long Ji,UNKNOWN,卡西龙之寻龙记,UNKNOWN,"Adventure, Fantasy",Dec 2013 to ?,Finished Airing,PG - Children,15098.0,22884,0,0
45201,Mengxiang Jing Su,UNKNOWN,梦想竞速,UNKNOWN,UNKNOWN,2011 to ?,Finished Airing,PG-13 - Teens 13 or older,18048.0,22831,0,0
45203,Xinghai Qi Hang,UNKNOWN,星海奇航,UNKNOWN,"Adventure, Fantasy, Sci-Fi",Jan 2011 to ?,Finished Airing,PG - Children,13851.0,23499,0,0
45204,Liang Jia Funu,UNKNOWN,梁家妇女,UNKNOWN,Comedy,2009 to ?,Finished Airing,G - All Ages,17694.0,23311,0,0
45205,Tuolaji Siji,UNKNOWN,拖拉机司机,UNKNOWN,"Adventure, Comedy",2015 to ?,Finished Airing,PG - Children,13156.0,24429,0,0
45206,Chao Bian Wu Shou,UNKNOWN,超变武兽,UNKNOWN,"Action, Sci-Fi",2017,Finished Airing,PG - Children,15132.0,21885,0,0
45207,Okashi na Sabaku no Suna to Manu,UNKNOWN,おかしなさばくのスナとマヌ,5.58,Comedy,"Feb 14, 2021 to Feb 2, 2022",Finished Airing,PG - Children,10524.0,11342,0,0
45208,Shenlan Shaonian,UNKNOWN,深蓝少年,UNKNOWN,"Adventure, Fantasy",2016 to ?,Finished Airing,PG - Children,19599.0,23332,0,0
45209,Hacker Ju Ji Shou,UNKNOWN,黑客狙击手,UNKNOWN,"Adventure, Sci-Fi",2005 to ?,Finished Airing,PG - Children,16245.0,23293,0,0
45211,Tuzi Bang,Rabbit Gang,兔子帮,UNKNOWN,UNKNOWN,Not available,Finished Airing,PG - Children,13169.0,24548,0,0
45212,Tuzi Bang 2nd Season,UNKNOWN,兔子帮 第二季,UNKNOWN,UNKNOWN,Not available,Finished Airing,PG - Children,13170.0,24431,0,0
45213,Tuzi Bang: Jixie Shi Lianmeng,UNKNOWN,兔子帮第三部机械师联盟,UNKNOWN,"Adventure, Fantasy",Not available,Finished Airing,PG - Children,13171.0,24338,0,0
45214,Sheng Guang Bu Hao Re,UNKNOWN,圣光不好惹,UNKNOWN,"Adventure, Comedy, Fantasy",2016 to ?,Finished Airing,PG-13 - Teens 13 or older,19582.0,23881,0,0
45215,Wuzi Pao: Yuanziya Baowei Zhan,UNKNOWN,五子炮之渊子崖保卫战,UNKNOWN,Drama,"Aug 31, 2015 to Sep 2, 2015",Finished Airing,G - All Ages,13476.0,23111,0,0
45216,Kuaile Dudu,UNKNOWN,快乐嘟嘟,UNKNOWN,UNKNOWN,"Jul 10, 2007 to ?",Finished Airing,PG - Children,17493.0,24584,0,0
