anime_id,Name,English name,Other name,Score,Genres,Aired,Status,Rating,Rank,Popularity,number_of_female_reviewers,number_of_male_reviewers
3070,Wakusei Daikaiju Negadon,Negadon: The Monster from Mars,惑星大怪獣　ネガドン,5.27,"Action, Fantasy, Sci-Fi","Oct 16, 2005",Finished Airing,PG-13 - Teens 13 or older,11416.0,11353,18,65
3071,Uchuu Senkan Yamato: Aratanaru Tabidachi,Space Battleship Yamato: The New Voyage,宇宙戦艦ヤマト 新たなる旅立ち,6.67,"Action, Drama, Sci-Fi","Jul 31, 1979",Finished Airing,PG-13 - Teens 13 or older,5475.0,8775,6,62
3072,Uchuu Senkan Yamato: Kanketsu-hen,Space Battleship Yamato - Final Chapter,宇宙戦艦ヤマト・完結編,6.84,"Action, Adventure, Drama, Sci-Fi","Mar 19, 1983",Finished Airing,PG-13 - Teens 13 or older,4684.0,8615,3,52
3075,Tondera House no Daibouken,The Flying House,トンデラハウスの大冒険,6.26,"Adventure, Sci-Fi","Apr 5, 1982 to Mar 28, 1983",Finished Airing,G - All Ages,7571.0,11346,37,27
3076,Bishoujo Senshi Sailor Moon SuperS Specials,UNKNOWN,美少女戦士セーラームーンSuperSスペシャル,7.38,Romance,"Apr 8, 1995",Finished Airing,PG-13 - Teens 13 or older,2137.0,4311,1196,470
3077,Warau Salesman,Laughing Salesman,笑ゥせぇるすまん,6.76,"Comedy, Drama, Supernatural","Oct 17, 1989 to Sep 29, 1992",Finished Airing,R+ - Mild Nudity,5040.0,7263,7,18
3079,Aoki Ryuusei SPT Layzner,Blue Comet SPT Layzner,蒼き流星SPTレイズナー,6.95,Sci-Fi,"Oct 3, 1985 to Jun 26, 1986",Finished Airing,PG-13 - Teens 13 or older,4176.0,7198,17,146
3080,Anime Tenchou,Animation Store Manager,アニメ店長,6.03,Action,"Aug 19, 2002",Finished Airing,G - All Ages,8683.0,5817,243,761
3081,Attacker You!,Attacker You!,アタッカーＹＯＵ！,6.73,"Romance, Sports","Apr 13, 1984 to Jun 21, 1985",Finished Airing,R+ - Mild Nudity,5185.0,6833,217,203
3086,Strait Jacket,UNKNOWN,ストレイト・ジャケット,6.81,"Action, Fantasy, Sci-Fi","Nov 26, 2007 to Apr 28, 2008",Finished Airing,R - 17+ (violence & profanity),4817.0,4112,583,1780
3087,Cencoroll,UNKNOWN,センコロール,7.15,"Action, Sci-Fi","Jul 28, 2009",Finished Airing,PG-13 - Teens 13 or older,3308.0,1937,2527,4619
3088,Tokyo Marble Chocolate,Tokyo Marble Chocolate,東京マーブルチョコレート,7.15,Romance,"Dec 5, 2007",Finished Airing,PG-13 - Teens 13 or older,3304.0,4091,1101,672
3089,The Sky Crawlers,The Sky Crawlers,スカイ・クロラ,7.27,"Award Winning, Drama","Aug 2, 2008",Finished Airing,PG-13 - Teens 13 or older,2680.0,2758,875,2397
3090,Aa! Megami-sama! Tatakau Tsubasa,Ah! My Goddess: Fighting Wings,ああっ女神さまっ 闘う翼,7.57,"Comedy, Romance, Supernatural","Dec 9, 2007",Finished Airing,PG-13 - Teens 13 or older,1470.0,4009,507,2565
3091,xxxHOLiC◆Kei,UNKNOWN,×××HOLiC◆継,8.21,"Comedy, Drama, Mystery, Supernatural","Apr 4, 2008 to Jun 27, 2008",Finished Airing,PG-13 - Teens 13 or older,331.0,1516,3531,3635
3092,Junjou Romantica,Junjo Romantica,純情ロマンチカ,7.5,"Boys Love, Comedy, Drama, Romance","Apr 11, 2008 to Jun 27, 2008",Finished Airing,PG-13 - Teens 13 or older,1709.0,904,11403,1254
3098,Shutsugeki! Machine Robo Rescue,UNKNOWN,出撃！マシンロボレスキュー,6.97,"Action, Sci-Fi","Jan 8, 2003 to Jan 3, 2004",Finished Airing,PG - Children,4098.0,10753,16,29
3099,Juusenshi Gulkeeva,Wild Knights Gulkeeva,獣戦士ガルキーバ,6.33,"Action, Fantasy","Apr 4, 1995 to Sep 26, 1995",Finished Airing,PG-13 - Teens 13 or older,7216.0,10438,8,34
3100,Kamen Rider SD Kaiki?! Kumo Otoko,UNKNOWN,仮面ライダーSD 怪奇!?クモ男,6.22,Action,"Jan 23, 1993",Finished Airing,G - All Ages,7796.0,11427,9,62
3101,F-Zero: Falcon Densetsu,F-Zero: GP Legend,F-ZERO ファルコン伝説,6.47,"Action, Adventure, Sci-Fi","Oct 7, 2003 to Sep 28, 2004",Finished Airing,PG - Children,6519.0,6279,66,188
3104,Geisters: Fractions of the Earth,Geisters: Fractions of the Earth,ガイスターズ FRACTIONS OF THE EARTH,5.58,"Action, Sci-Fi","Oct 6, 2001 to Mar 30, 2002",Finished Airing,PG-13 - Teens 13 or older,10515.0,11120,10,12
3110,Kaze no Naka no Shoujo: Kinpatsu no Jeanie,UNKNOWN,風の中の少女 金髪のジェニー,7.01,Drama,"Oct 15, 1992 to Sep 30, 1993",Finished Airing,G - All Ages,3949.0,8787,91,28
3111,Nasu: Suitcase no Wataridori,Nasu: A Migratory Bird with Suitcase,茄子 スーツケースの渡り鳥,7.07,Sports,"Oct 24, 2007",Finished Airing,PG-13 - Teens 13 or older,3679.0,8795,24,121
3113,Pinky Street,UNKNOWN,ピンキーストリート,4.5,"Comedy, Slice of Life","Jul 26, 2006",Finished Airing,G - All Ages,12467.0,11887,35,24
3114,Chiisana Kyojin Microman,UNKNOWN,小さな巨人ミクロマン,6.66,"Action, Adventure, Comedy, Sci-Fi","Jan 4, 1999 to Dec 27, 1999",Finished Airing,G - All Ages,5513.0,12019,4,7
3115,Toki no Tabibito: Time Stranger,UNKNOWN,時空[とき]の旅人 Time Stranger,6.07,"Action, Adventure, Romance, Sci-Fi","Dec 20, 1986",Finished Airing,PG-13 - Teens 13 or older,8524.0,8610,16,46
3116,Dash! Yonkurou,UNKNOWN,ダッシュ！四駆郎,6.92,"Action, Sports","Oct 3, 1989 to Mar 27, 1990",Finished Airing,G - All Ages,4309.0,10512,67,70
3120,Bobby ni Kubittake,UNKNOWN,ボビーに首ったけ,5.91,"Drama, Romance, Slice of Life","Mar 9, 1985",Finished Airing,PG-13 - Teens 13 or older,9225.0,8616,55,166
3125,Tokimeki Tonight,UNKNOWN,ときめきトゥナイト,7.13,"Comedy, Fantasy, Romance","Oct 7, 1982 to Sep 22, 1983",Finished Airing,PG - Children,3374.0,6263,93,55
3127,California Crisis: Tsuigeki no Juuka,California Crisis: Gun Salvo,カリフォルニア・クライシス　追撃の銃火,5.62,"Action, Adventure, Sci-Fi","Jul 21, 1986",Finished Airing,PG-13 - Teens 13 or older,10387.0,7176,51,233
3129,Kaibutsu-kun,UNKNOWN,怪物くん,6.83,"Comedy, Horror","Apr 21, 1968 to Mar 23, 1969",Finished Airing,PG - Children,4719.0,11621,9,15
3130,Kaibutsu-kun (1980),UNKNOWN,怪物くん (1980),6.75,"Comedy, Horror","Sep 2, 1980 to Sep 28, 1982",Finished Airing,G - All Ages,5087.0,11646,13,15
3131,Ashita Tenki ni Naare,A Great Super Shot Boy,あした天気になあれ,6.38,Sports,"Oct 6, 1984 to Sep 27, 1985",Finished Airing,G - All Ages,6966.0,12927,6,18
3132,Boukensha: The Man Was from Spain,Christopher Columbus,冒険者－THE MAN WAS FROM SPAIN－,6.2,Adventure,"Nov 28, 1992 to Mar 30, 1993",Finished Airing,G - All Ages,7870.0,11920,32,35
3135,Dragon's Heaven,Dragon's Heaven,ドラゴンズヘブン,6.18,"Action, Adventure, Fantasy, Sci-Fi","Feb 25, 1988",Finished Airing,PG-13 - Teens 13 or older,7972.0,5597,53,269
3136,Ochamegami Monogatari: Korokoro Pollon,Little Pollon,おちゃめ神物語コロコロポロン,7.11,Comedy,"May 8, 1982 to Mar 26, 1983",Finished Airing,G - All Ages,3493.0,9299,80,54
3137,Tsurikichi Sanpei,UNKNOWN,釣りキチ三平,7.14,"Adventure, Sports","Apr 7, 1980 to Jun 28, 1982",Finished Airing,G - All Ages,3364.0,8018,67,72
3138,"Solty Rei: Surechigau Kimochi de, Omoi Au Kokoro de.",UNKNOWN,"ソルティレイ すれ違うキモチで, 想い合うココロで.",7.01,"Comedy, Drama","Jul 26, 2006",Finished Airing,PG-13 - Teens 13 or older,3964.0,8700,57,201
3146,GR: Giant Robo,UNKNOWN,GR -ジャイアントロボ-,6.26,"Adventure, Sci-Fi","Jan 19, 2007 to Jul 20, 2007",Finished Airing,PG-13 - Teens 13 or older,7584.0,8821,11,45
3147,Megumi no Daigo: Kajiba no Baka Yarou,Daigo of Fire Company,め組の大吾 火事場のバカヤロー,6.11,"Action, Drama","Jul 27, 1999",Finished Airing,PG-13 - Teens 13 or older,8327.0,11553,7,32
3151,Genei Toushi Bastof Lemon,BASToF Syndrome,幻影闘士バストフレモン,6.07,"Adventure, Sci-Fi","May 3, 2001 to Nov 15, 2001",Finished Airing,PG-13 - Teens 13 or older,8538.0,11747,15,29
3152,Down Load: Namu Amida Butsu wa Ai no Uta,Download: Devil's Circuit,DOWN LOAD 南無阿弥陀仏は愛の詩,5.75,"Action, Adventure, Sci-Fi","Dec 18, 1992",Finished Airing,PG-13 - Teens 13 or older,9879.0,9084,3,53
3153,Kagaku Ninja-tai Gatchaman (Movie),UNKNOWN,科学忍者隊 ガッチャマン,6.08,"Action, Adventure, Sci-Fi","Jul 15, 1978",Finished Airing,PG-13 - Teens 13 or older,8467.0,11078,8,32
3154,Gatchaman,UNKNOWN,GATCHAMAN,6.37,"Action, Adventure, Sci-Fi","Oct 1, 1994 to Apr 1, 1995",Finished Airing,PG-13 - Teens 13 or older,7048.0,8384,27,94
3155,Kingyo Chuuihou! (Movie),UNKNOWN,きんぎょ注意報！,6.33,"Action, Comedy","Apr 25, 1992",Finished Airing,G - All Ages,7218.0,13407,8,10
3159,The Kabocha Wine,The Pumpkin Wine,Ｔｈｅかぼちゃワイン,6.82,"Comedy, Romance","Jul 5, 1982 to Aug 27, 1984",Finished Airing,PG-13 - Teens 13 or older,4756.0,9176,10,19
3162,Makiba no Shoujo Katri,"Katri, Girl of the Meadows",牧場の少女カトリ,6.93,"Adventure, Drama, Slice of Life","Jan 8, 1984 to Dec 23, 1984",Finished Airing,G - All Ages,4273.0,8776,51,24
3164,Ichigo Ichie: Koibana Tomobana,UNKNOWN,一期一会 恋バナ友バナ,UNKNOWN,"Comedy, Slice of Life","Oct 20, 2007 to Jan 26, 2008",Finished Airing,G - All Ages,16693.0,14431,4,4
3165,Hidamari Sketch Specials,UNKNOWN,ひだまりスケッチ 特別編,7.53,"Comedy, Slice of Life","Oct 18, 2007",Finished Airing,PG-13 - Teens 13 or older,1613.0,4562,344,1609
3166,Ayakashi,UNKNOWN,アヤカシ,6.31,"Action, Fantasy, Horror, Sci-Fi","Dec 12, 2007 to Feb 27, 2008",Finished Airing,R - 17+ (violence & profanity),7351.0,3882,660,2113
3167,Eve no Jikan,Time of Eve,イヴの時間,8.01,"Sci-Fi, Slice of Life","Aug 1, 2008 to Sep 18, 2009",Finished Airing,PG-13 - Teens 13 or older,569.0,1229,3016,7672
3174,Sola Specials,UNKNOWN,sola,6.92,"Comedy, Romance, Supernatural","Sep 25, 2007 to Oct 26, 2007",Finished Airing,PG-13 - Teens 13 or older,4331.0,5088,440,1313
3175,Kaitei Choutokkyuu: Marine Express,Undersea Super Train: Marine Express,海底超特急　マリン・エクスプレス,6.34,"Action, Adventure, Comedy, Drama, Sci-Fi","Aug 26, 1979",Finished Airing,PG-13 - Teens 13 or older,7191.0,11370,13,28
3176,Nessa no Haou Gandalla,Gandalla: The King of Burning Desert,熱沙の覇王ガンダーラ,5.63,"Adventure, Drama, Fantasy, Horror, Sci-Fi, Supernatural","Apr 11, 1998 to Oct 17, 1998",Finished Airing,PG-13 - Teens 13 or older,10358.0,10855,2,9
3178,Hengen Taima Yakou Karura Mau! Nara Onryou Emaki,Karura Mau Movie,変幻退魔夜行 カルラ舞う！ 奈良怨霊絵巻,6.33,"Action, Adventure, Fantasy, Horror, Supernatural","Apr 8, 1989",Finished Airing,R - 17+ (violence & profanity),7211.0,10412,14,14
3180,Manga Aesop Monogatari (TV),UNKNOWN,まんがイソップ物語,5.95,"Comedy, Fantasy","Oct 10, 1983 to Dec 22, 1983",Finished Airing,G - All Ages,9049.0,14669,2,4
3182,Massugu ni Ikou. 2nd Season,UNKNOWN,まっすぐにいこう。第2期,6.46,"Comedy, Romance, Slice of Life","Mar 27, 2004 to Apr 1, 2004",Finished Airing,PG - Children,6551.0,10230,39,18
3183,MAPS: Densetsu no Samayoeru Seijin-tachi,UNKNOWN,マップス 伝説のさまよえる星人たち,5.57,"Action, Adventure, Drama, Sci-Fi","Jul 14, 1987",Finished Airing,PG-13 - Teens 13 or older,10562.0,11943,6,25
3185,Fortune Quest L,Fortune Quest,フォーチュン·クエストL,6.97,"Adventure, Comedy, Fantasy","Oct 18, 1997 to May 23, 1998",Finished Airing,PG-13 - Teens 13 or older,4117.0,10357,47,37
3186,Sekai Meisaku Douwa: Hakuchou no Mizuumi,Swan Lake,世界名作童話 白鳥の湖,6.88,"Drama, Fantasy, Romance","Mar 14, 1981",Finished Airing,G - All Ages,4475.0,8698,147,41
3190,Guitar wo Motta Shounen: Kikaider vs. Inazuman,The Boy Who Carried a Guitar: Kikaider vs. Inazuman,ギターを持った少年 -キカイダーVSイナズマン-,6.35,Sci-Fi,"Sep 18, 2003",Finished Airing,PG-13 - Teens 13 or older,7130.0,11740,15,48
3192,Tobira wo Akete,UNKNOWN,扉を開けて,5.73,"Action, Adventure, Fantasy, Sci-Fi","Nov 1, 1986",Finished Airing,R+ - Mild Nudity,9977.0,9847,27,33
3193,Asobot Senki Gokuu,Monkey Typhoon,アソボット戦記五九,6.55,"Action, Adventure, Comedy, Sci-Fi","Oct 1, 2002 to Sep 30, 2003",Finished Airing,PG-13 - Teens 13 or older,6091.0,9121,58,115
3194,Ningyohime Marina no Bouken,Saban's Adventures of the Little Mermaid,人魚姫 マリーナの冒険,6.15,"Drama, Fantasy, Romance","Feb 2, 1991 to Jul 27, 1991",Finished Airing,G - All Ages,8121.0,11090,74,12
3196,Wakakusa no Charlotte,UNKNOWN,若草のシャルロット,6.84,"Drama, Slice of Life","Oct 29, 1977 to May 27, 1978",Finished Airing,G - All Ages,4686.0,9543,34,7
3199,Nanatsu no Umi no Tico,Tico and Friends,七つの海のティコ,7.41,"Adventure, Slice of Life","Jan 16, 1994 to Dec 18, 1994",Finished Airing,G - All Ages,2048.0,7536,120,66
3201,Pure-tou no Nakama-tachi,Serendipity the Pink Dragon,セレンディピティ物語 ピュア島の仲間たち,6.48,Fantasy,"Jul 1, 1983 to Dec 23, 1983",Finished Airing,G - All Ages,6491.0,12829,22,6
3202,Daisuki! Hello Kitty,UNKNOWN,大好き！ハローキティ,6.27,Fantasy,"Oct 5, 1993 to Mar 29, 1994",Finished Airing,G - All Ages,7529.0,9596,160,45
3203,Chibi Maruko-chan Movie,UNKNOWN,ちびまる子ちゃん (1990),7.07,Comedy,"Dec 15, 1990",Finished Airing,G - All Ages,3654.0,10627,81,56
3213,Ganbare Genki,UNKNOWN,がんばれ元気,7.47,"Action, Comedy, Sports","Jul 16, 1980 to Apr 1, 1981",Finished Airing,PG-13 - Teens 13 or older,1802.0,9738,23,37
3214,Kosuke-sama Rikimaru-sama: Konpeitou no Ryuu,UNKNOWN,小助さま力丸さま-コンペイ島の竜-,5.91,"Action, Adventure","Sep 23, 1988",Finished Airing,G - All Ages,9244.0,11745,4,29
3215,Fuyu no Hi,Winter Days,冬の日,6.02,Award Winning,"Nov 22, 2003",Finished Airing,R+ - Mild Nudity,8739.0,8394,70,141
3218,Saiyuuki (OVA),Saiyuki,最遊記,7.0,"Adventure, Supernatural","Apr 23, 1999 to Aug 27, 1999",Finished Airing,PG-13 - Teens 13 or older,3982.0,7852,176,84
3219,Gakuen Utopia Manabi Straight!: Natsu da! Manabi da! Kyouka Gasshuku da!,UNKNOWN,がくえんゆーとぴあ まなびストレート！夏だ! まなびだ! 強化合宿だ!,7.06,"Comedy, Sci-Fi, Slice of Life","Oct 10, 2007",Finished Airing,G - All Ages,3731.0,7052,187,672
3220,Kanashimi no Belladonna,Belladonna of Sadness,哀しみのベラドンナ,7.15,"Avant Garde, Drama","Jun 30, 1973",Finished Airing,R+ - Mild Nudity,3316.0,3089,259,294
3221,Shakugan no Shana-tan Movie,UNKNOWN,灼眼のシャナたん＠劇場版Ver,7.11,"Adventure, Comedy, Fantasy","Sep 21, 2007",Finished Airing,PG-13 - Teens 13 or older,3505.0,4216,439,1798
3222,Kiddy Grade: Maelstrom,UNKNOWN,キディ・グレイド 劇場版 第二部: 氾濫篇,7.02,"Action, Sci-Fi","Jun 23, 2007",Finished Airing,UNKNOWN,3906.0,8273,71,95
3223,Kiddy Grade: Truth Dawn,UNKNOWN,キディ・グレイド　劇場版　第三部: 黎明篇,7.05,"Action, Sci-Fi","Sep 1, 2007",Finished Airing,PG-13 - Teens 13 or older,3757.0,8302,65,91
3225,Minami-ke Okawari,UNKNOWN,みなみけ～おかわり～,7.33,"Comedy, Slice of Life","Jan 7, 2008 to Mar 31, 2008",Finished Airing,PG-13 - Teens 13 or older,2363.0,2391,1557,4948
3226,Major S4,UNKNOWN,メジャー　（第4シリーズ),8.19,Sports,"Jan 5, 2008 to Jun 28, 2008",Finished Airing,PG-13 - Teens 13 or older,362.0,2559,436,2260
3227,Harukanaru Toki no Naka de 3: Kurenai no Tsuki,UNKNOWN,遙かなる時空の中で3 紅の月,6.66,"Action, Fantasy","Dec 28, 2007",Finished Airing,PG-13 - Teens 13 or older,5525.0,8934,224,23
3228,Zoku Sayonara Zetsubou Sensei,UNKNOWN,俗・さよなら絶望先生,7.9,Comedy,"Jan 6, 2008 to Mar 30, 2008",Finished Airing,R - 17+ (violence & profanity),729.0,1604,2188,4658
3230,Druaga no Tou: The Aegis of Uruk,Tower of Druaga: The Aegis of Uruk,ドルアーガの塔 〜the Aegis of URUK〜,7.13,"Adventure, Comedy, Fantasy","Apr 5, 2008 to Jun 21, 2008",Finished Airing,PG-13 - Teens 13 or older,3392.0,1739,1264,6623
